Name,Brand,Coffee_Tea,Brew_Type,Tea_Type,Coffee_Type,Steeping_Time_Min,Steeping_Time_Max,Water_Temp_Min_C,Water_Temp_Max_C,Water_Temp_Min_F,Water_Temp_Max_F,Weight_Oz,Weight_g,Opened,Ingredients
Fruit Smoothie,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,3,5,100,,212,,0.28,8,FALSE,"Apple pieces, hibiscus petals, rosehip, orange, banana, cherry, strawberry pieces, natural flavors"
Fruity Paradise,tiesta tea,Tea,Loose Leaf,Green,N/A,1,3,,,175,,4,113.4,TRUE,"green tea, pineapple, mango, black tea, natural flavors, rose petals, raspberry bits, strawberries"
Grapefruit Frose,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,4,5,100,,212,,0.28,8,FALSE,"Black tea, grapefruit, orange, papaya, safflower, cornflower, red plum petals, natural flavors"
Green Apple & Honey,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,4,80,,176,,0.28,8,TRUE,"Green Tea, apple pieces, tamarind leaves, natural flavors"
Green Chamomile,Mosi,Tea,Loose Leaf,Herbal,N/A,3,5,,,185,,,6,FALSE,"Green Tea from Mid-Darjeeling and North Benga India, Chamomile Flower from Uttar Pradesh India, Lemongrass from Kerala India"
Green Meadows,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,3,80,,176,,0.28,8,FALSE,"Green Tea, candy pieces, cornflower petals, natural flavors"
Green Mint,Mosi,Tea,Loose Leaf,Green,N/A,2,4,,,185,,,6,TRUE,Green Tea from Mid-Darjeeling and North Bengal India
Green Mint,Mosi,Tea,Loose Leaf,Green,N/A,2,4,,,185,,,6,FALSE,Green Tea from Mid-Darjeeling and North Bengal India
Greens & Roses,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,3,80,,176,,0.28,8,TRUE,"Green Tea, Rose petals, natural flavors"
Happy Tummy,Dollar Tea Club,Tea,Loose Leaf,Herbal,N/A,4,6,100,,212,,0.28,8,TRUE,"Apple Pieces, Hibiscus, Senna leaves, rosehip, pomegranate pieces, natural flavors"
Happy Tummy,Dollar Tea Club,Tea,Loose Leaf,Herbal,N/A,4,6,100,,212,,0.28,8,FALSE,"Apple Pieces, Hibiscus, Senna leaves, rosehip, pomegranate pieces, natural flavors"
Herbal Harmony,Dollar Tea Club,Tea,Loose Leaf,Herbal,N/A,4,6,100,,212,,0.28,8,FALSE,"Apple Pieces, Rosehips, peppermint, lemon grass, shop vervain, line tree blossoms, natural flavors"
Hibiscus Rose,Mosi,Tea,Loose Leaf,Green,N/A,3,4,,,185,,,6,FALSE,"Hibiscus from Karnataka, Rose from Kashmir, Green tea rom North Bengal"
Holiday Nog,Good & Gather,Coffee,Ground,N/A,Light Roast,N/A,N/A,N/A,N/A,N/A,N/A,12,340,TRUE,"Arabica Coffee, Natural Flavor"
Hot Tamales,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,3,80,,176,,0.28,8,TRUE,"Green tea, Cinnamon, Rose petals, natural flavors"
House Blend,Nescafe,Coffee,Instant,N/A,Instant,N/A,N/A,N/A,N/A,N/A,N/A,7,198,TRUE,
Japan Genmaicha,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,3,80,,176,,0.28,8,FALSE,"Green tea, roasted rice, popped rice"
Key Lime Pie,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,4,5,100,,212,,0.28,8,FALSE,"Black Tea, Lime leaves, Lime pieces, Lemon pieces, natural flavors"
Kompot,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,3,5,100,,212,,0.28,8,FALSE,"Apple pieces, hibiscus petals, rosehip, mango, pineapple, elderberry, orange pieces, natural flavors"
Lavender Chamomile,Mosi,Tea,Loose Leaf,Herbal,N/A,3,5,,,185,,,6,FALSE,"Chamomile Flower from Uttar Pradesh India, Lavender from France"
Lily Blossoms,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,4,80,,176,,0.28,8,FALSE,"Green Tea, Marigold flowers, Lily Flowers, natural flavors, artifical flavors"
Long Island Strawberry,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,3,80,,176,,0.28,8,FALSE,"Green Tea, Papaya, strawberry pieces, natural flavors"
Madagascar Spice,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,4,6,100,,212,,0.28,8,FALSE,"Apple pieces, Hibiscus petals, rosehip pieces, almond pieces, safflower petals, natural flavors"
Madagascar Spice,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,4,6,100,,212,,0.28,8,FALSE,"Apple pieces, Hibiscus petals, rosehip pieces, almond pieces, safflower petals, natural flavors"
Major Dickason's Blend,Peet's Coffee,Coffee,Ground,N/A,Dark Roast,N/A,N/A,N/A,N/A,N/A,N/A,18,510,TRUE,
Mango Yogurt,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,4,7,100,,212,,0.28,8,FALSE,"Hibiscus, rosehips, apple pieces, mango pieces, black currants, orange peels, coconut pieces, natural flavors"
Masala Chai,Mosi,Tea,Loose Leaf,Black,N/A,4,5,,,212,,,6,FALSE,"Assam Black Tea from Tezpure region in India, Spices from Karnataka India"
Mate Orange Sun,Distinctly Tea,Tea,Loose Leaf,Herbal,N/A,5,7,,,212,,,8,TRUE,"Green mate, lemongrass, flavor"
Morning Black,Mosi,Tea,Loose Leaf,Black,N/A,2,4,,,212,,,6,FALSE,Orthodox Assam black tea from the Golaghat district in Assam India
Mulled Wine,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,4,5,100,,212,,0.28,8,TRUE,"Black Tea, Cinnamon, Cloves, Safflower petals, Natural flavors"
Mystery Tea,Mosi x Dollar Tea Club,Tea,Loose Leaf,Custom Blend,N/A,,,,,,,,6,FALSE,
Mystery Tea,Mosi x Dollar Tea Club,Tea,Loose Leaf,Custom Blend,N/A,,,,,,,,6,FALSE,
Mystery Tea,Mosi x Dollar Tea Club,Tea,Loose Leaf,Custom Blend,N/A,,,,,,,,6,FALSE,
Mystery Tea,Mosi x Dollar Tea Club,Tea,Loose Leaf,Custom Blend,N/A,,,,,,,,6,FALSE,
